id,capitulo,titulo_capitulo,nro_articulo,texto
182,Capítulo III,DE LOS DERECHOS Y DEBERES CONSTITUCIONALES,Artículo 23,"La ley establecerá las sanciones que corresponda aplicar a los dirigentes gremiales que intervengan en actividades político partidistas y a los dirigentes de los partidos políticos, que interfieran en el funcionamiento de las organizaciones gremiales y demás grupos intermedios que la propia ley señale."
183,Capítulo IV,GOBIERNO,Artículo 24,Presidente de la República
184,Capítulo IV,GOBIERNO,Artículo 24,"El gobierno y la administración del Estado corresponden al Presidente de la República, quien es el Jefe del Estado."
185,Capítulo IV,GOBIERNO,Artículo 24,"Su autoridad se extiende a todo cuanto tiene por objeto la conservación del orden público en el interior y la seguridad externa de la República, de acuerdo con la Constitución y las leyes."
186,Capítulo IV,GOBIERNO,Artículo 24,"El 1 de junio de cada año, el Presidente de la República dará cuenta al país del estado administrativo y político de la Nación ante el Congreso Pleno."
187,Capítulo IV,GOBIERNO,Artículo 25,Para ser elegido Presidente de la República se requiere tener la nacionalidad chilena de acuerdo a lo dispuesto en los números 1º ó 2º del artículo 10; tener cumplidos treinta y cinco años de edad y poseer las demás calidades necesarias para ser ciudadano con derecho a sufragio.
188,Capítulo IV,GOBIERNO,Artículo 25,El Presidente de la República durará en el ejercicio de sus funciones por el término de cuatro años y no podrá ser reelegido para el período siguiente.
189,Capítulo IV,GOBIERNO,Artículo 25,"El Presidente de la República no podrá salir del territorio nacional por más de treinta días ni a contar del día señalado en el inciso primero del artículo siguiente, sin acuerdo del Senado."
190,Capítulo IV,GOBIERNO,Artículo 25,"En todo caso, el Presidente de la República comunicará con la debida anticipación al Senado su decisión de ausentarse del territorio y los motivos que la justifican."
191,Capítulo IV,GOBIERNO,Artículo 26,"El Presidente de la República será elegido en votación directa y por mayoría absoluta de los sufragios válidamente emitidos. La elección se efectuará conjuntamente con la de parlamentarios, en la forma que determine la ley orgánica constitucional respectiva, el tercer domingo de noviembre del año anterior a aquel en que deba cesar en el cargo el que esté en funciones."
192,Capítulo IV,GOBIERNO,Artículo 26,"Si a la elección de Presidente de la República se presentaren más de dos candidatos y ninguno de ellos obtuviere más de la mitad de los sufragios válidamente emitidos, se procederá a una segunda votación que se circunscribirá a los candidatos que hayan obtenido las dos más altas mayorías relativas y en ella resultará electo aquél de los candidatos que obtenga el mayor número de sufragios. Esta nueva votación se verificará, en la forma que determine la ley, el cuarto domingo después de efectuada la primera."
193,Capítulo IV,GOBIERNO,Artículo 26,"Para los efectos de lo dispuesto en los dos incisos precedentes, los votos en blanco y los nulos se considerarán como no emitidos."
194,Capítulo IV,GOBIERNO,Artículo 26,"En caso de muerte de uno o de ambos candidatos a que se refiere el inciso segundo, el Presidente de la República convocará a una nueva elección dentro del plazo de diez días, contado desde la fecha del deceso. La elección se celebrará noventa días después de la convocatoria si ese día correspondiere a un domingo. Si así no fuere, ella se realizará el domingo inmediatamente siguiente."
195,Capítulo IV,GOBIERNO,Artículo 26,"Si expirase el mandato del Presidente de la República en ejercicio antes de la fecha de asunción del Presidente que se elija en conformidad al inciso anterior, se aplicará, en lo pertinente, la norma contenida en el inciso primero del artículo 28."
196,Capítulo IV,GOBIERNO,Artículo 27,El proceso de calificación de la elección presidencial deberá quedar concluido dentro de los quince días siguientes tratándose de la primera votación o dentro de los treinta días siguientes tratándose de la segunda votación.
197,Capítulo IV,GOBIERNO,Artículo 27,El Tribunal Calificador de Elecciones comunicará de inmediato al Presidente del Senado la proclamación de Presidente electo que haya efectuado.
198,Capítulo IV,GOBIERNO,Artículo 27,"El Congreso Pleno, reunido en sesión pública el día en que deba cesar en su cargo el Presidente en funciones y con los miembros que asistan, tomará conocimiento de la resolución en virtud de la cual el Tribunal Calificador de Elecciones proclama al Presidente electo."
199,Capítulo IV,GOBIERNO,Artículo 27,"En este mismo acto, el Presidente electo prestará ante el Presidente del Senado, juramento o promesa de desempeñar fielmente el cargo de Presidente de la República, conservar la independencia de la Nación, guardar y hacer guardar la Constitución y las leyes, y de inmediato asumirá sus funciones."
200,Capítulo IV,GOBIERNO,Artículo 28,"Si el Presidente electo se hallare impedido para tomar posesión del cargo, asumirá, mientras tanto, con el título de Vicepresidente de la República, el Presidente del Senado; a falta de éste, el Presidente de la Cámara de Diputados, y a falta de éste, el Presidente de la Corte Suprema."
201,Capítulo IV,GOBIERNO,Artículo 28,"Con todo, si el impedimento del Presidente electo fuere absoluto o debiere durar indefinidamente, el Vicepresidente, en los diez días siguientes al acuerdo del Senado adoptado en conformidad al artículo 53 Nº 7º, convocará a una nueva elección presidencial que se celebrará noventa días después de la convocatoria si ese día correspondiere a un domingo. Si así no fuere, ella se realizará el domingo inmediatamente siguiente. El Presidente de la República así elegido asumirá sus funciones en la oportunidad que señale esa ley, y durará en el ejercicio de ellas hasta el día en que le habría correspondido cesar en el cargo al electo que no pudo asumir y cuyo impedimento hubiere motivado la nueva elección."
202,Capítulo IV,GOBIERNO,Artículo 29,"Si por impedimento temporal, sea por enfermedad, ausencia del territorio u otro grave motivo, el Presidente de la República no pudiere ejercer su cargo, le subrogará, con el título de Vicepresidente de la República, el Ministro titular a quien corresponda de acuerdo con el orden de precedencia legal. A falta de éste, la subrogación corresponderá al Ministro titular que siga en ese orden de precedencia y, a falta de todos ellos, le subrogarán sucesivamente el Presidente del Senado, el Presidente de la Cámara de Diputados y el Presidente de la Corte Suprema."
203,Capítulo IV,GOBIERNO,Artículo 29,"En caso de vacancia del cargo de Presidente de la República, se producirá la subrogación como en las situaciones del inciso anterior, y se procederá a elegir sucesor en conformidad a las reglas de los incisos siguientes."
204,Capítulo IV,GOBIERNO,Artículo 29,"Si la vacancia se produjere faltando menos de dos años para la próxima elección presidencial, el Presidente será elegido por el Congreso Pleno por la mayoría absoluta de los senadores y diputados en ejercicio. La elección por el Congreso será hecha dentro de los diez días siguientes a la fecha de la vacancia y el elegido asumirá su cargo dentro de los treinta días siguientes."
205,Capítulo IV,GOBIERNO,Artículo 29,"Si la vacancia se produjere faltando dos años o más para la próxima elección presidencial, el Vicepresidente, dentro de los diez primeros días de su mandato, convocará a los ciudadanos a elección presidencial para ciento veinte días después de la convocatoria, si ese día correspondiere a un domingo. Si así no fuere, ella se realizará el domingo inmediatamente siguiente. El Presidente que resulte elegido asumirá su cargo el décimo día después de su proclamación."
206,Capítulo IV,GOBIERNO,Artículo 29,El Presidente elegido conforme a alguno de los incisos precedentes durará en el cargo hasta completar el período que restaba a quien se reemplace y no podrá postular como candidato a la elección presidencial siguiente.
207,Capítulo IV,GOBIERNO,Artículo 30,El Presidente cesará en su cargo el mismo día en que se complete su período y le sucederá el recientemente elegido.
208,Capítulo IV,GOBIERNO,Artículo 30,"El que haya desempeñado este cargo por el período completo, asumirá, inmediatamente y de pleno derecho, la dignidad oficial de Ex Presidente de la República."
209,Capítulo IV,GOBIERNO,Artículo 30,"En virtud de esta calidad, le serán aplicables las disposiciones de los incisos segundo, tercero y cuarto del artículo 61 y el artículo 62."
210,Capítulo IV,GOBIERNO,Artículo 30,No la alcanzará el ciudadano que llegue a ocupar el cargo de Presidente de la República por vacancia del mismo ni quien haya sido declarado culpable en juicio político seguido en su contra.
211,Capítulo IV,GOBIERNO,Artículo 30,"El Ex Presidente de la República que asuma alguna función remunerada con fondos públicos, dejará, en tanto la desempeñe, de percibir la dieta, manteniendo, en todo caso, el fuero. Se exceptúan los empleos docentes y las funciones o comisiones de igual carácter de la enseñanza superior, media y especial."
212,Capítulo IV,GOBIERNO,Artículo 31,"El Presidente designado por el Congreso Pleno o, en su caso, el Vicepresidente de la República tendrá todas las atribuciones que esta Constitución confiere al Presidente de la República."
213,Capítulo IV,GOBIERNO,Artículo 32,Son atribuciones especiales del Presidente de la República:
214,Capítulo IV,GOBIERNO,Artículo 32,"1º.- Concurrir a la formación de las leyes con arreglo a la Constitución, sancionarlas y promulgarlas;"
215,Capítulo IV,GOBIERNO,Artículo 32,"2º.- Pedir, indicando los motivos, que se cite a sesión a cualquiera de las ramas del Congreso Nacional. En tal caso, la sesión deberá celebrarse a la brevedad posible;"
216,Capítulo IV,GOBIERNO,Artículo 32,"3º.- Dictar, previa delegación de facultades del Congreso, decretos con fuerza de ley sobre las materias que señala la Constitución;"
217,Capítulo IV,GOBIERNO,Artículo 32,4º.- Convocar a plebiscito en los casos del artículo 128;
218,Capítulo IV,GOBIERNO,Artículo 32,5º.- Declarar los estados de excepción constitucional en los casos y formas que se señalan en esta Constitución;
219,Capítulo IV,GOBIERNO,Artículo 32,"6º.- Ejercer la potestad reglamentaria en todas aquellas materias que no sean propias del dominio legal, sin perjuicio de la facultad de dictar los demás reglamentos, decretos e instrucciones que crea convenientes para la ejecución de las leyes;"
220,Capítulo IV,GOBIERNO,Artículo 32,"7º.- Nombrar y remover a su voluntad a los ministros de Estado, subsecretarios, delegados presidenciales regionales y delegados presidenciales provinciales;"
221,Capítulo IV,GOBIERNO,Artículo 32,"8º.- Designar a los embajadores y ministros diplomáticos, y a los representantes ante organismos internacionales. Tanto estos funcionarios como los señalados en el N° 7° precedente, serán de la confianza exclusiva del Presidente de la República y se mantendrán en sus puestos mientras cuenten con ella;"
222,Capítulo IV,GOBIERNO,Artículo 32,9º.- Nombrar al Contralor General de la República con acuerdo del Senado;
223,Capítulo IV,GOBIERNO,Artículo 32,10º.- Nombrar y remover a los funcionarios que la ley denomina como de su exclusiva confianza y proveer los demás empleos civiles en conformidad a la ley. La remoción de los demás funcionarios se hará de acuerdo a las disposiciones que ésta determine;
224,Capítulo IV,GOBIERNO,Artículo 32,"11º.- Conceder jubilaciones, retiros, montepíos y pensiones de gracia, con arreglo a las leyes;"
225,Capítulo IV,GOBIERNO,Artículo 32,"12º.- Nombrar a los magistrados y fiscales judiciales de las Cortes de Apelaciones y a los jueces letrados, a proposición de la Corte Suprema y de las Cortes de Apelaciones, respectivamente; a los miembros del Tribunal Constitucional que le corresponde designar; y a los magistrados y fiscales judiciales de la Corte Suprema y al Fiscal Nacional, a proposición de dicha Corte y con acuerdo del Senado, todo ello conforme a lo prescrito en esta Constitución;"
226,Capítulo IV,GOBIERNO,Artículo 32,"13º.- Velar por la conducta ministerial de los jueces y demás empleados del Poder Judicial y requerir, con tal objeto, a la Corte Suprema para que, si procede, declare su mal comportamiento, o al ministerio público, para que reclame medidas disciplinarias del tribunal competente, o para que, si hubiere mérito bastante, entable la correspondiente acusación;"
227,Capítulo IV,GOBIERNO,Artículo 32,"14º.- Otorgar indultos particulares en los casos y formas que determine la ley. El indulto será improcedente en tanto no se haya dictado sentencia ejecutoriada en el respectivo proceso. Los funcionarios acusados por la Cámara de Diputados y condenados por el Senado, sólo pueden ser indultados por el Congreso;"
228,Capítulo IV,GOBIERNO,Artículo 32,"15º.- Conducir las relaciones políticas con las potencias extranjeras y organismos internacionales, y llevar a cabo las negociaciones; concluir, firmar y ratificar los tratados que estime convenientes para los intereses del país, los que deberán ser sometidos a la aprobación del Congreso conforme a lo prescrito en el artículo 54 Nº 1º. Las discusiones y deliberaciones sobre estos objetos serán secretos si el Presidente de la República así lo exigiere;"
229,Capítulo IV,GOBIERNO,Artículo 32,"16º.- Designar y remover a los Comandantes en Jefe del Ejército, de la Armada, de la Fuerza Aérea y al General Director de Carabineros en conformidad al artículo 104, y disponer los nombramientos, ascensos y retiros de los Oficiales de las Fuerzas Armadas y de Carabineros en la forma que señala el artículo 105;"
230,Capítulo IV,GOBIERNO,Artículo 32,"17º.- Disponer de las fuerzas de aire, mar y tierra, organizarlas y distribuirlas de acuerdo con las necesidades de la seguridad nacional;"
231,Capítulo IV,GOBIERNO,Artículo 32,"18º.- Asumir, en caso de guerra, la jefatura suprema de las Fuerzas Armadas;"
232,Capítulo IV,GOBIERNO,Artículo 32,"19º.- Declarar la guerra, previa autorización por ley, debiendo dejar constancia de haber oído al Consejo de Seguridad Nacional, y"
233,Capítulo IV,GOBIERNO,Artículo 32,"20º.- Cuidar de la recaudación de las rentas públicas y decretar su inversión con arreglo a la ley. El Presidente de la República, con la firma de todos los Ministros de Estado, podrá decretar pagos no autorizados por ley, para atender necesidades impostergables derivadas de calamidades públicas, de agresión exterior, de conmoción interna, de grave daño o peligro para la seguridad nacional o del agotamiento de los recursos destinados a mantener servicios que no puedan paralizarse sin serio perjuicio para el país. El total de los giros que se hagan con estos objetos no podrá exceder anualmente del dos por ciento (2%) del monto de los gastos que autorice la Ley de Presupuestos. Se podrá contratar empleados con cargo a esta misma ley, pero sin que el ítem respectivo pueda ser incrementado ni disminuido mediante traspasos. Los Ministros de Estado o funcionarios que autoricen o den curso a gastos que contravengan lo dispuesto en este número serán responsables solidaria y personalmente de su reintegro, y culpables del delito de malversación de caudales públicos."
234,Capítulo IV,GOBIERNO,Artículo 32,Ministros de Estado
235,Capítulo IV,GOBIERNO,Artículo 33,Los Ministros de Estado son los colaboradores directos e inmediatos del Presidente de la República en el gobierno y administración del Estado.
236,Capítulo IV,GOBIERNO,Artículo 33,"La ley determinará el número y organización de los Ministerios, como también el orden de precedencia de los Ministros titulares."
237,Capítulo IV,GOBIERNO,Artículo 33,El Presidente de la República podrá encomendar a uno o más Ministros la coordinación de la labor que corresponde a los Secretarios de Estado y las relaciones del Gobierno con el Congreso Nacional.
238,Capítulo IV,GOBIERNO,Artículo 34,"Para ser nombrado Ministro se requiere ser chileno, tener cumplidos veintiún años de edad y reunir los requisitos generales para el ingreso a la Administración Pública."
239,Capítulo IV,GOBIERNO,Artículo 34,"En los casos de ausencia, impedimento o renuncia de un Ministro, o cuando por otra causa se produzca la vacancia del cargo, será reemplazado en la forma que establezca la ley."
240,Capítulo IV,GOBIERNO,Artículo 35,Los reglamentos y decretos del Presidente de la República deberán firmarse por el Ministro respectivo y no serán obedecidos sin este esencial requisito.
241,Capítulo IV,GOBIERNO,Artículo 35,"Los decretos e instrucciones podrán expedirse con la sola firma del Ministro respectivo, por orden del Presidente de la República, en conformidad a las normas que al efecto establezca la ley."
242,Capítulo IV,GOBIERNO,Artículo 36,Los Ministros serán responsables individualmente de los actos que firmaren y solidariamente de los que suscribieren o acordaren con los otros Ministros.
243,Capítulo IV,GOBIERNO,Artículo 37,"Los Ministros podrán, cuando lo estimaren conveniente, asistir a las sesiones de la Cámara de Diputados o del Senado, y tomar parte en sus debates, con preferencia para hacer uso de la palabra, pero sin derecho a voto. Durante la votación podrán, sin embargo, rectificar los conceptos emitidos por cualquier diputado o senador al fundamentar su voto."
244,Capítulo IV,GOBIERNO,Artículo 37,"Sin perjuicio de lo anterior, los Ministros deberán concurrir personalmente a las sesiones especiales que la Cámara de Diputados o el Senado convoquen para informarse sobre asuntos que, perteneciendo al ámbito de atribuciones de las correspondientes Secretarías de Estado, acuerden tratar."
245,Capítulo IV,GOBIERNO,Artículo 37 bis,"A los Ministros les serán aplicables las incompatibilidades establecidas en el inciso primero del artículo 58. Por el solo hecho de aceptar el nombramiento, el Ministro cesará en el cargo, empleo, función o comisión incompatible que desempeñe."
246,Capítulo IV,GOBIERNO,Artículo 37 bis,"Durante el ejercicio de su cargo, los Ministros estarán sujetos a la prohibición de celebrar o caucionar contratos con el Estado, actuar como abogados o mandatarios en cualquier clase de juicio o como procurador o agente en gestiones particulares de carácter administrativo, ser director de bancos o de alguna sociedad anónima y ejercer cargos de similar importancia en estas actividades."
247,Capítulo IV,GOBIERNO,Artículo 37 bis,Bases generales de la Administración del Estado
248,Capítulo IV,GOBIERNO,Artículo 38,"Una ley orgánica constitucional determinará la organización básica de la Administración Pública, garantizará la carrera funcionaria y los principios de carácter técnico y profesional en que deba fundarse, y asegurará tanto la igualdad de oportunidades de ingreso a ella como la capacitación y el perfeccionamiento de sus integrantes."
249,Capítulo IV,GOBIERNO,Artículo 38,"Cualquier persona que sea lesionada en sus derechos por la Administración del Estado, de sus organismos o de las municipalidades, podrá reclamar ante los tribunales que determine la ley, sin perjuicio de la responsabilidad que pudiere afectar al funcionario que hubiere causado el daño."
250,Capítulo IV,GOBIERNO,Artículo 38 bis,"Las remuneraciones del Presidente de la República, de los senadores y diputados, de los gobernadores regionales, de los funcionarios de exclusiva confianza del Jefe del Estado que señalan los números 7° y 10° del artículo 32 y de los contratados sobre la base de honorarios que asesoren directamente a las autoridades gubernativas ya indicadas, serán fijadas, cada cuatro años y con a lo menos dieciocho meses de anticipación al término de un período presidencial, por una comisión cuyo funcionamiento, organización, funciones y atribuciones establecerá una ley orgánica constitucional."
251,Capítulo IV,GOBIERNO,Artículo 38 bis,La comisión estará integrada por las siguientes personas:
252,Capítulo IV,GOBIERNO,Artículo 38 bis,a) Un ex Ministro de Hacienda.
253,Capítulo IV,GOBIERNO,Artículo 38 bis,b) Un ex Consejero del Banco Central.
254,Capítulo IV,GOBIERNO,Artículo 38 bis,c) Un ex Contralor o Subcontralor de la Contraloría General de la República.
255,Capítulo IV,GOBIERNO,Artículo 38 bis,d) Un ex Presidente de una de las ramas que integran el Congreso Nacional.
256,Capítulo IV,GOBIERNO,Artículo 38 bis,e) Un ex Director Nacional del Servicio Civil.
257,Capítulo IV,GOBIERNO,Artículo 38 bis,Sus integrantes serán designados por el Presidente de la República con el acuerdo de los dos tercios de los senadores en ejercicio.
258,Capítulo IV,GOBIERNO,Artículo 38 bis,"Los acuerdos de la comisión serán públicos, se fundarán en antecedentes técnicos y deberán establecer una remuneración que garantice una retribución adecuada a la responsabilidad del cargo y la independencia para cumplir sus funciones y atribuciones."
259,Capítulo IV,GOBIERNO,Artículo 38 bis,Estados de excepción constitucional
260,Capítulo IV,GOBIERNO,Artículo 39,"El ejercicio de los derechos y garantías que la Constitución asegura a todas las personas sólo puede ser afectado bajo las siguientes situaciones de excepción: guerra externa o interna, conmoción interior, emergencia y calamidad pública, cuando afecten gravemente el normal desenvolvimiento de las instituciones del Estado."
261,Capítulo IV,GOBIERNO,Artículo 40,"El estado de asamblea, en caso de guerra exterior, y el estado de sitio, en caso de guerra  interna o grave conmoción interior, lo declarará el Presidente de la República, con acuerdo del Congreso Nacional. La declaración deberá determinar las zonas afectadas por el estado de excepción correspondiente."
262,Capítulo IV,GOBIERNO,Artículo 40,"El Congreso Nacional, dentro del plazo de cinco días contado desde la fecha en que el Presidente de la República someta la declaración de estado de asamblea o de sitio a su consideración, deberá pronunciarse aceptando o rechazando la proposición, sin que pueda introducirle modificaciones. Si el Congreso no se pronunciara dentro de dicho plazo, se entenderá que aprueba la proposición del Presidente."
263,Capítulo IV,GOBIERNO,Artículo 40,"Sin embargo, el Presidente de la República podrá aplicar el estado de asamblea o de sitio de inmediato mientras el Congreso se pronuncia sobre la declaración, pero en este último estado sólo podrá restringir el ejercicio del derecho de reunión. Las medidas que adopte el Presidente de la República en tanto no se reúna el Congreso Nacional, podrán ser objeto de revisión por los tribunales de justicia, sin que sea aplicable, entre tanto, lo dispuesto en el artículo 45."
264,Capítulo IV,GOBIERNO,Artículo 40,"La declaración de estado de sitio sólo podrá hacerse por un plazo de quince días, sin perjuicio de que el Presidente de la República solicite su prórroga. El estado de asamblea mantendrá su vigencia por el tiempo que se extienda la situación de guerra exterior, salvo que el Presidente de la República disponga su suspensión con anterioridad."
265,Capítulo IV,GOBIERNO,Artículo 41,"El estado de catástrofe, en caso de calamidad pública, lo declarará el Presidente de la República, determinando la zona afectada por la misma."
266,Capítulo IV,GOBIERNO,Artículo 41,"El Presidente de la República estará obligado a informar al Congreso Nacional de las medidas adoptadas en virtud del estado de catástrofe. El Congreso Nacional podrá dejar sin efecto la declaración transcurridos ciento ochenta días desde ésta si las razones que la motivaron hubieran cesado en forma absoluta. Con todo, el Presidente de la República sólo podrá declarar el estado de catástrofe por un período superior a un año con acuerdo del Congreso Nacional. El referido acuerdo se tramitará en la forma establecida en el inciso segundo del artículo 40."
267,Capítulo IV,GOBIERNO,Artículo 41,"Declarado el estado de catástrofe, las zonas respectivas quedarán bajo la dependencia inmediata del Jefe de la Defensa Nacional que designe el Presidente de la República. Este asumirá la dirección y supervigilancia de su jurisdicción con las atribuciones y deberes que la ley señale."
268,Capítulo IV,GOBIERNO,Artículo 42,"El estado de emergencia, en caso de grave alteración del orden público o de grave daño para la seguridad de la Nación, lo declarará el Presidente de la República, determinando las zonas afectadas por dichas circunstancias. El estado de emergencia no podrá extenderse por más de quince días, sin perjuicio de que el Presidente de la República pueda prorrogarlo por igual período. Sin embargo, para sucesivas prórrogas, el Presidente requerirá siempre del acuerdo del Congreso Nacional. El referido acuerdo se tramitará en la forma establecida en el inciso segundo del artículo 40."
269,Capítulo IV,GOBIERNO,Artículo 42,"Declarado el estado de emergencia, las zonas respectivas quedarán bajo la dependencia inmediata del Jefe de la Defensa Nacional que designe el Presidente de la República. Este asumirá la dirección y supervigilancia de su jurisdicción con las atribuciones y deberes que la ley señale."
270,Capítulo IV,GOBIERNO,Artículo 42,El Presidente de la República estará obligado a informar al Congreso Nacional de las medidas adoptadas en virtud del estado de emergencia.
271,Capítulo IV,GOBIERNO,Artículo 43,"Por la declaración del estado de asamblea, el Presidente de la República queda facultado para suspender o restringir la libertad personal, el derecho de reunión y la libertad de trabajo. Podrá, también, restringir el ejercicio del derecho de asociación, interceptar, abrir o registrar documentos y toda clase de comunicaciones, disponer requisiciones de bienes y establecer limitaciones al ejercicio del derecho de propiedad."
272,Capítulo IV,GOBIERNO,Artículo 43,"Por la declaración de estado de sitio, el Presidente de la República podrá restringir la libertad de locomoción y arrestar a las personas en sus propias moradas o en lugares que la ley determine y que no sean cárceles ni estén destinados a la detención o prisión de reos comunes. Podrá, además, suspender o restringir el ejercicio del derecho de reunión."
273,Capítulo IV,GOBIERNO,Artículo 43,"Por la declaración del estado de catástrofe, el Presidente de la República podrá restringir las libertades de locomoción y de reunión. Podrá, asimismo, disponer requisiciones de bienes, establecer limitaciones al ejercicio del derecho de propiedad y adoptar todas las medidas extraordinarias de carácter administrativo que sean necesarias para el pronto restablecimiento de la normalidad en la zona afectada."
274,Capítulo IV,GOBIERNO,Artículo 43,"Por la declaración del estado de emergencia, el Presidente de la República podrá restringir las libertades de locomoción y de reunión."
275,Capítulo IV,GOBIERNO,Artículo 44,"Una ley orgánica constitucional regulará los estados de excepción, así como su declaración y la aplicación de las medidas legales y administrativas que procediera adoptar bajo aquéllos. Dicha ley contemplará lo estrictamente necesario para el pronto restablecimiento de la normalidad constitucional y no podrá afectar las competencias y el funcionamiento de los órganos constitucionales ni los derechos e inmunidades de sus respectivos titulares."
276,Capítulo IV,GOBIERNO,Artículo 44,"Las medidas que se adopten durante los estados de excepción no podrán, bajo ninguna circunstancia, prolongarse más allá de la vigencia de los mismos."
277,Capítulo IV,GOBIERNO,Artículo 45,"Los tribunales de justicia no podrán calificar los fundamentos ni las circunstancias de hecho invocados por la autoridad para decretar los estados de excepción, sin perjuicio de lo dispuesto en el artículo 39. No obstante, respecto de las medidas particulares que afecten derechos constitucionales, siempre existirá la garantía de recurrir ante las autoridades judiciales a través de los recursos que corresponda."
278,Capítulo IV,GOBIERNO,Artículo 45,Las requisiciones que se practiquen darán lugar a indemnizaciones en conformidad a la ley. También darán derecho a indemnización las limitaciones que se impongan al derecho de propiedad cuando importen privación de alguno de sus atributos o facultades esenciales y con ello se cause daño.
279,Capítulo V,CONGRESO NACIONAL,Artículo 46,El Congreso Nacional se compone de dos ramas: la Cámara de Diputados y el Senado. Ambas concurren a la formación de las leyes en conformidad a esta Constitución y tienen las demás atribuciones que ella establece.
280,Capítulo V,CONGRESO NACIONAL,Artículo 46,Composición y generación de la Cámara de Diputados y del Senado
281,Capítulo V,CONGRESO NACIONAL,Artículo 47,"La Cámara de Diputados está integrada por miembros elegidos en votación directa por distritos electorales. La ley orgánica constitucional respectiva determinará el número de diputados, los distritos electorales y la forma de su elección."
282,Capítulo V,CONGRESO NACIONAL,Artículo 47,La Cámara de Diputados se renovará en su totalidad cada cuatro años.
283,Capítulo V,CONGRESO NACIONAL,Artículo 48,"Para ser elegido diputado se requiere ser ciudadano con derecho a sufragio, tener cumplidos veintiún años de edad, haber cursado la enseñanza media o equivalente, y tener residencia en la región a que pertenezca el distrito electoral correspondiente durante un plazo no inferior a dos años, contado hacia atrás desde el día de la elección."
284,Capítulo V,CONGRESO NACIONAL,Artículo 49,"El Senado se compone de miembros elegidos en votación directa por circunscripciones senatoriales, en consideración a las regiones del país, cada una de las cuales constituirá, a lo menos, una circunscripción. La ley orgánica constitucional respectiva determinará el número de Senadores, las circunscripciones senatoriales y la forma de su elección."
285,Capítulo V,CONGRESO NACIONAL,Artículo 49,"Los senadores durarán ocho años en su cargo y se renovarán alternadamente cada cuatro años, en la forma que determine la ley orgánica constitucional respectiva."
286,Capítulo V,CONGRESO NACIONAL,Artículo 50,"Para ser elegido senador se requiere ser ciudadano con derecho a sufragio, haber cursado la enseñanza media o equivalente y tener cumplidos treinta y cinco años de edad el día de la elección."
287,Capítulo V,CONGRESO NACIONAL,Artículo 51,"Se entenderá que los diputados tienen, por el solo ministerio de la ley, su residencia en la región correspondiente, mientras se encuentren en ejercicio de su cargo."
288,Capítulo V,CONGRESO NACIONAL,Artículo 51,Las elecciones de diputados y de senadores se efectuarán conjuntamente.
289,Capítulo V,CONGRESO NACIONAL,Artículo 51,Los diputados podrán ser reelegidos sucesivamente en el cargo hasta por dos períodos; los senadores podrán ser reelegidos sucesivamente en el cargo hasta por un período. Para estos efectos se entenderá que los diputados y senadores han ejercido su cargo durante un período cuando han cumplido más de la mitad de su mandato.
290,Capítulo V,CONGRESO NACIONAL,Artículo 51,Las vacantes de diputados y las de senadores se proveerán con el ciudadano que señale el partido político al que pertenecía el parlamentario que produjo la vacante al momento de ser elegido.
291,Capítulo V,CONGRESO NACIONAL,Artículo 51,Los parlamentarios elegidos como independientes no serán reemplazados.
292,Capítulo V,CONGRESO NACIONAL,Artículo 51,"Los parlamentarios elegidos como independientes que hubieren postulado integrando lista en conjunto con uno o más partidos políticos, serán reemplazados por el ciudadano que señale el partido indicado por el respectivo parlamentario al momento de presentar su declaración de candidatura."
293,Capítulo V,CONGRESO NACIONAL,Artículo 51,"El reemplazante deberá reunir los requisitos para ser elegido diputado o senador, según el caso. Con todo, un diputado podrá ser nominado para ocupar el puesto de un senador, debiendo aplicarse, en ese caso, las normas de los incisos anteriores para llenar la vacante que deja el diputado, quien al asumir su nuevo cargo cesará en el que ejercía."
294,Capítulo V,CONGRESO NACIONAL,Artículo 51,El nuevo diputado o senador ejercerá sus funciones por el término que faltaba a quien originó la vacante.
295,Capítulo V,CONGRESO NACIONAL,Artículo 51,En ningún caso procederán elecciones complementarias.
296,Capítulo V,CONGRESO NACIONAL,Artículo 51,Atribuciones exclusivas de la Cámara de Diputados
297,Capítulo V,CONGRESO NACIONAL,Artículo 52,Son atribuciones exclusivas de la Cámara de Diputados:
298,Capítulo V,CONGRESO NACIONAL,Artículo 52,1) Fiscalizar los actos del Gobierno. Para ejercer esta atribución la Cámara puede:
299,Capítulo V,CONGRESO NACIONAL,Artículo 52,"a) Adoptar acuerdos o sugerir observaciones, con el voto de la mayoría de los diputados presentes, los que se transmitirán por escrito al Presidente de la República, quien deberá dar respuesta fundada por medio del Ministro de Estado que corresponda, dentro de treinta días."
300,Capítulo V,CONGRESO NACIONAL,Artículo 52,"Sin perjuicio de lo anterior, cualquier diputado, con el voto favorable de un tercio de los miembros presentes de la Cámara, podrá solicitar determinados antecedentes al Gobierno. El Presidente de la República contestará fundadamente por intermedio del Ministro de Estado que corresponda, dentro del mismo plazo señalado en el párrafo anterior."
301,Capítulo V,CONGRESO NACIONAL,Artículo 52,"En ningún caso los acuerdos, observaciones o solicitudes de antecedentes afectarán la responsabilidad política de los Ministros de Estado;"
